http://www.isri.cmu.edu/people/affiliated-faculty.html,http://isri.cmu.edu,,,,,,,
,,,,,,,,
,NAME,EMAIL,TITLE,DEPARTMENT,PHOTO,HOMEPAGE,Bio,
,,,,,,,,
QUERY,//div/h1,,//div[@class='content']/h2,,//div/div/img/@src,//div/p/a/@href,//div/div/div/p,
,,,,,,,,
RESPONSE,Randal Bryant,,Professor of Computer Science,Institute for Software Research,http://isri.cmu.edu/images/people/75px/bryant-randy-75.jpg,http://www-2.cs.cmu.edu/~bryant/,"Randal E. Bryant is a University Professor in the Computer ScienceDepartment at Carnegie Mellon University.  He has been on the facultyat Carnegie Mellon since 1984, starting as an Assistant Professor andprogressing to his current rank of University Professor of ComputerScience.  He also holds a courtesy appointment in the Electrical andComputer Engineering Department.  He served as Dean of the School ofComputer Science from 2004 to 2014.Dr. Bryant's research focuses on methods for formally verifyingdigital hardware, and more recently some forms of software.  He iswell known for the development of the ordered binary decision diagram(OBDD) data structure, used not just for formal hardware and softwareverification, but also digital circuit testing and synthesis, AIplanning, and combinatorial optimization.  In addition, he hasdeveloped several techniques to verify circuits by symbolicsimulation, with levels of abstraction ranging from transistors tomodels based on first-order logic.Dr. Bryant has received widespread recognition for his work.  He is afellow of the IEEE and the ACM, as well as a member of the NationalAcademy of Engineering and the American Academy of Arts and Science.His awards include the 1997 ACM Kanellakis Theory and Practice Award(shared with Edmund M. Clarke, Ken McMillan, and Allen Emerson) forcontributing to the development of symbolic model checking, as well asthe 1989 IEEE W.R.G. Baker Prize for the best paper appearing in anyIEEE publication during the preceding year.Dr. Bryant teaches courses in computer systems.  Along with DavidR. O'Hallaron, he developed a novel approach to teaching about thehardware, networking, and system software that comprise a system fromthe perspective of an advanced programmer, rather than from those ofthe system designers.  Their textbook ``Computer Systems: AProgrammer's Perspective,'' now in its third edition, is in use atover 280 universities worldwide, with translations into Chinese,Korean, Macedonian, and Russian.Dr. Bryant spent the 1989-1990 academic year as a Visiting ResearchFellow at Fujitsu Laboratories in Kawasaki, Japan, and the 2014-2015academic year as Assistant Director for Information TechnologyResearch and Development at the White House Office of Science andTechnology Policy.Dr. Bryant received his B.S. in Applied Mathematics from theUniversity of Michigan in 1973, and his PhD from MIT in 1981.  He wasan assistant professor at Caltech from 1981 to 1984.","Randal E. Bryant is a University Professor in the Computer ScienceDepartment at Carnegie Mellon University.  He has been on the facultyat Carnegie Mellon since 1984, starting as an Assistant Professor andprogressing to his current rank of University Professor of ComputerScience.  He also holds a courtesy appointment in the Electrical andComputer Engineering Department.  He served as Dean of the School ofComputer Science from 2004 to 2014.Dr. Bryant's research focuses on methods for formally verifyingdigital hardware, and more recently some forms of software.  He iswell known for the development of the ordered binary decision diagram(OBDD) data structure, used not just for formal hardware and softwareverification, but also digital circuit testing and synthesis, AIplanning, and combinatorial optimization.  In addition, he hasdeveloped several techniques to verify circuits by symbolicsimulation, with levels of abstraction ranging from transistors tomodels based on first-order logic.Dr. Bryant has received widespread recognition for his work.  He is afellow of the IEEE and the ACM, as well as a member of the NationalAcademy of Engineering and the American Academy of Arts and Science.His awards include the 1997 ACM Kanellakis Theory and Practice Award(shared with Edmund M. Clarke, Ken McMillan, and Allen Emerson) forcontributing to the development of symbolic model checking, as well asthe 1989 IEEE W.R.G. Baker Prize for the best paper appearing in anyIEEE publication during the preceding year.Dr. Bryant teaches courses in computer systems.  Along with DavidR. O'Hallaron, he developed a novel approach to teaching about thehardware, networking, and system software that comprise a system fromthe perspective of an advanced programmer, rather than from those ofthe system designers.  Their textbook ``Computer Systems: AProgrammer's Perspective,'' now in its third edition, is in use atover 280 universities worldwide, with translations into Chinese,Korean, Macedonian, and Russian.Dr. Bryant spent the 1989-1990 academic year as a Visiting ResearchFellow at Fujitsu Laboratories in Kawasaki, Japan, and the 2014-2015academic year as Assistant Director for Information TechnologyResearch and Development at the White House Office of Science andTechnology Policy.Dr. Bryant received his B.S. in Applied Mathematics from theUniversity of Michigan in 1973, and his PhD from MIT in 1981.  He wasan assistant professor at Caltech from 1981 to 1984."
,Jaime Carbonell,,"Allen Newell Professor of Computer Science; Director, Language Technology Institute",Institute for Software Research,http://isri.cmu.edu/images/people/75px/carbonell-jaime-75.jpg,http://www.cs.cmu.edu/~jgc/,,
,Angel Jordan,,University Professor Emeritus,Institute for Software Research,http://isri.cmu.edu/images/people/75px/jordan-angel-75.jpg,http://www.ece.cmu.edu/directory/details/73,,
,Mark Klein,,"Senior Member of the Technical Staff, Software Engineering Institute",Institute for Software Research,http://isri.cmu.edu/images/people/75px/klein-mark-75.jpg,http://www.sei.cmu.edu/staff/mk/,,
,Phil Koopman,,"Associate Professor, Electrical and Computer Engineering",Institute for Software Research,http://isri.cmu.edu/images/people/75px/koopman-phillip-75.jpg,http://www.ece.cmu.edu/~koopman/,,
,Jim Morris,,Professor of Computer Science,Institute for Software Research,http://isri.cmu.edu/images/people/75px/morris-jim-75.jpg,http://www.cs.cmu.edu/~jhm/,,
,Brad Myers,,"Professor, Human Computer Interaction Institute",Institute for Software Research,http://isri.cmu.edu/images/people/75px/myers-brad-75.jpg,http://www-2.cs.cmu.edu/~bam/,"Brad A. Myers is a Professor in the Human-Computer Interaction Institute in the School of Computer Science at Carnegie Mellon University. He is an IEEE Fellow, ACM Fellow, winner of nine best paper type awards and three Most Influential Paper Awards. He is also a member of the CHI Academy, an honor bestowed on the principal leaders of the field. He is the principal investigator for the Natural Programming Project and the Pebbles Handheld Computer Project, and previously led the Amulet and Garnet projects. He is the author or editor of over 450 publications, including the books ""Creating User Interfaces by Demonstration"" and ""Languages for Developing User Interfaces,"" and he has been on the editorial board of five journals. He has been a consultant on user interface design and implementation to over 80 companies, and regularly teaches courses on user interface design and software. Myers received a PhD in computer science at the University of Toronto where he developed the Peridot user interface tool. He received the MS and BSc degrees from the Massachusetts Institute of Technology during which time he was a research intern at Xerox PARC. From 1980 until 1983, he worked at PERQ Systems Corporation. His research interests include user interface development systems, user interfaces, handheld computers, programming environments, programming language design, programming by example, visual programming, interaction techniques, and window management. He belongs to ACM, SIGCHI, IEEE, and the IEEE Computer Society.","Brad A. Myers is a Professor in the Human-Computer Interaction Institute in the School of Computer Science at Carnegie Mellon University. He is an IEEE Fellow, ACM Fellow, winner of nine best paper type awards and three Most Influential Paper Awards. He is also a member of the CHI Academy, an honor bestowed on the principal leaders of the field. He is the principal investigator for the Natural Programming Project and the Pebbles Handheld Computer Project, and previously led the Amulet and Garnet projects. He is the author or editor of over 450 publications, including the books ""Creating User Interfaces by Demonstration"" and ""Languages for Developing User Interfaces,"" and he has been on the editorial board of five journals. He has been a consultant on user interface design and implementation to over 80 companies, and regularly teaches courses on user interface design and software. Myers received a PhD in computer science at the University of Toronto where he developed the Peridot user interface tool. He received the MS and BSc degrees from the Massachusetts Institute of Technology during which time he was a research intern at Xerox PARC. From 1980 until 1983, he worked at PERQ Systems Corporation. His research interests include user interface development systems, user interfaces, handheld computers, programming environments, programming language design, programming by example, visual programming, interaction techniques, and window management. He belongs to ACM, SIGCHI, IEEE, and the IEEE Computer Society."
