name,email,title,department,photo,homepage,bio,photo_ext,department_url
Maria Florina Balcan,,Associate Professor,Machine Learning,http://www.ml.cmu.edu/people/people-images/balcan115.jpg,http://www.cs.cmu.edu/~ninamf/,"Nina's main research interests are in machine learning and theoretical computer science. Current research focus includes: â€¢ Developing foundations and principled, practical algorithms for important modern learning paradigms. These include interactive learning, distributed learning, multi-task learning, and never ending learning. Her research formalizes and explicitly addresses all constraints and important challenges of these new settings, including statistical efficiency, computational efficiency, noise tolerance, limited supervision or interaction, privacy, low communication, and incentives. â€¢ Machine learning and game theoretic tools for analyzing the overall behavior of complex systems in which multiple agents with limited information are adapting their behavior based on past experience, both in social and engineered systems contexts. â€¢ Analysis of algorithms beyond the worst case and more generally identifying interesting and realistic models of computation that provide a better alternative to traditional worst-case models in a broad range of optimization problems (including problems of extracting hidden information from data).",people-images/balcan115.jpg,http://www.ml.cmu.edu/people/core-faculty.html
Ziv Bar-Joseph,,Professor,Machine Learning,http://www.ml.cmu.edu/people/people-images/ziv_bar-joseph_2011_115.jpg,http://www.cs.cmu.edu/~zivbj/,"Dr. Bar-Joseph's work focuses on the analysis of high throughput biological data. His group is using machine learning, statistical algorithms and signal processing techniques to address problems ranging from experimental design to data analysis, pattern recognition and systems biology. Specifically they have focused on integrating multiple biological data sources to infer dynamic regulatory networks and other interaction networks in the cell.",people-images/ziv_bar-joseph_2011_115.jpg,http://www.ml.cmu.edu/people/core-faculty.html
William Cohen,,"Professor, Co-Director of MS Program, Director, ML Minor",Machine Learning,http://www.ml.cmu.edu/people/people-images/cohen2015_115.jpg,http://www.cs.cmu.edu/~wcohen/,"Dr. Cohen's research interests include information integration and machine learning, particularly information extraction, text categorization and learning from large datasets. He holds seven patents related to learning, discovery, information retrieval, and data integration, and is the author of more than 100 publications.",people-images/cohen2015_115.jpg,http://www.ml.cmu.edu/people/core-faculty.html
Christos Faloutsos,,Professor,Machine Learning,http://www.ml.cmu.edu/people/people-images/faloutsos2014_115.jpg,http://www.cs.cmu.edu/~christos/,"Dr. Faloutsos is working in databases. His research interests include data mining for streams and sensors; pattern discovery in large graphs, and indexing methods for multimedia and biological databases.",people-images/faloutsos2014_115.jpg,http://www.ml.cmu.edu/people/core-faculty.html
Katerina Fragkiadaki,,Assistant Professor,Machine Learning,http://www.ml.cmu.edu/people/people-images/Fragkiadaki_Katerina_115.jpg,https://www.cs.cmu.edu/~katef/,"Dr Fragkiadaki's interests are in perception, language and control, developing continuously improving agents that understand the world through their senses and reason about plans to achieve their goals. She is currently looking into learning algorithms with weak supervision from videos for extracting geometry and semantics, learning a parsing of a video scene that allows prediction of its future evolution. She likes compositional  architectures of visual processing as a means towards better generalization and  general-purpose platforms to support multiple skill formation and action in the world.",people-images/Fragkiadaki_Katerina_115.jpg,http://www.ml.cmu.edu/people/core-faculty.html
Geoffrey Gordon,,"Associate Professor, Associate Department Head for Education",Machine Learning,http://www.ml.cmu.edu/people/people-images/gordon2013cropped.jpg,http://www.cs.cmu.edu/~ggordon/,"Dr. Gordon is interested in multiagent learning and planning, statistical models of difficult data (examples include natural-language text and maps of a robot's surroundings), game theory, and computational learning theory.",people-images/gordon2013cropped.jpg,http://www.ml.cmu.edu/people/core-faculty.html
Matt Gormley,,Assistant Teaching Professor,Machine Learning,http://www.ml.cmu.edu/people/people-images/gormley_115.jpg,http://www.cs.cmu.edu/~mgormley/,"Matt's research focuses on machine learning for natural language processing. His interests include global optimization, learning under approximations, hybrids of graphical models and neural networks, and applications where supervised resources are scarce.",people-images/gormley_115.jpg,http://www.ml.cmu.edu/people/core-faculty.html
Robert Kass,,Professor,Machine Learning,http://www.ml.cmu.edu/people/people-images/kass%20WEB.jpg,http://www.stat.cmu.edu/~kass/,"Dr. Kass has long-standing interests in the Bayesian approach to statistical inference, and has contributed to the development of Bayesian methods and their computational implementation. Over the past 10 years he has focused on statistical problems in neuroscience, especially in the analysis of signals coming from single neurons and from multiple neurons recorded simultaneously.",people-images/kass%20WEB.jpg,http://www.ml.cmu.edu/people/core-faculty.html
Ann Lee,,Associate Professor,Machine Learning,http://www.ml.cmu.edu/people/people-images/lee_2013_cropped.jpg,http://www.stat.cmu.edu/~annlee/,"Dr. Lee's research interests are pattern analysis and high-dimensional inference. She is currently developing statistical methods and models for analyzing and representing low-dimensional structures embedded in high dimensions with noise. Her work includes spectral data analysis and multi-scale methods with applications in population genetics, astrostatistics and vision.",people-images/lee_2013_cropped.jpg,http://www.ml.cmu.edu/people/core-faculty.html
Roy Maxion,,Research Professor,Machine Learning,http://www.ml.cmu.edu/people/people-images/maxion%20WEB.jpg,http://www-2.cs.cmu.edu/afs/cs.cmu.edu/user/maxion/www/index.html,"Dr. Maxion's research is centered on learning decision models based on system and user behaviors.  His current focus is on keystroke forensics -- a type of biometric -- in which a user's typing is monitored, and a model of the typing style, or rhythm, is learned.  Based on this rhythm, users can be placed into different classes (like blood types), and users can be discriminated from one another, or even identified uniquely.  The results are used in two-factor and continuous authentication, authorship attribution, and tracking/tracing cyber-criminals across the Internet.",people-images/maxion%20WEB.jpg,http://www.ml.cmu.edu/people/core-faculty.html
